filepath,model,app_id,us_id,feature_name,feature_description,feature_keyword,feature_tags,rule_name,rule_description,rule_tags,scenario_name,scenario_description,scenario_keyword,scenario_tags,scenario_examples,step_keyword,step_keyword_type,step_text,step_data_table,step_doc_string,error,us_text
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,Given,Context,I am on the website,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,When,Action,I click the address link,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,Then,Outcome,a new tab should open,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,And,Conjunction,"the new tab's URL should contain ""google.com/maps""",,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,Given,Context,I am on the website,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,When,Action,I click the address link,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,Then,Outcome,a new tab should open,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,And,Conjunction,"the new tab's URL should contain the address ""1600 Amphitheatre Parkway, Mountain View, CA""",,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link does not close the current tab,,Scenario,,,Given,Context,I am on the website,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link does not close the current tab,,Scenario,,,When,Action,I click the address link,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link does not close the current tab,,Scenario,,,Then,Outcome,the original tab should still be open,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Address link uses the correct HTML attribute to open in a new tab,,Scenario,,,Given,Context,I am on the website,,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Address link uses the correct HTML attribute to open in a new tab,,Scenario,,,Then,Outcome,"the address link should have the attribute ""target"" with value ""_blank""",,,False,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User views the map and sees nearby drop-off sites,,Scenario,,,Given,Context,I am on the special waste drop-off site map page,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User views the map and sees nearby drop-off sites,,Scenario,,,When,Action,the map is loaded,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User views the map and sees nearby drop-off sites,,Scenario,,,Then,Outcome,I should see a map centered around my current location,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User views the map and sees nearby drop-off sites,,Scenario,,,And,Conjunction,I should see markers indicating nearby special waste drop-off sites,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User zooms out and sees more distant drop-off sites,,Scenario,,,Given,Context,I am on the special waste drop-off site map page,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User zooms out and sees more distant drop-off sites,,Scenario,,,When,Action,the map is loaded,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User zooms out and sees more distant drop-off sites,,Scenario,,,And,Conjunction,I zoom out on the map,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User zooms out and sees more distant drop-off sites,,Scenario,,,Then,Outcome,I should see more drop-off site markers as the map area expands,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User clicks on a drop-off site marker and sees details,,Scenario,,,Given,Context,I am on the special waste drop-off site map page,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User clicks on a drop-off site marker and sees details,,Scenario,,,When,Action,the map is loaded,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User clicks on a drop-off site marker and sees details,,Scenario,,,And,Conjunction,I click on a drop-off site marker,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User clicks on a drop-off site marker and sees details,,Scenario,,,Then,Outcome,I should see a pop-up window with details about the site,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User clicks on a drop-off site marker and sees details,,Scenario,,,And,Conjunction,"the details should include the site name, address, and accepted materials",,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User searches for a specific address and sees drop-off sites near that location,,Scenario,,,Given,Context,I am on the special waste drop-off site map page,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User searches for a specific address and sees drop-off sites near that location,,Scenario,,,When,Action,I enter a specific address in the search bar,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User searches for a specific address and sees drop-off sites near that location,,Scenario,,,And,Conjunction,I submit the search,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User searches for a specific address and sees drop-off sites near that location,,Scenario,,,Then,Outcome,the map should center on the searched address,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,User searches for a specific address and sees drop-off sites near that location,,Scenario,,,And,Conjunction,I should see markers indicating special waste drop-off sites near that address,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,No drop-off sites are available in the immediate area,,Scenario,,,Given,Context,I am on the special waste drop-off site map page,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,No drop-off sites are available in the immediate area,,Scenario,,,When,Action,the map is loaded in an area with no drop-off sites,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,No drop-off sites are available in the immediate area,,Scenario,,,Then,Outcome,I should see a message indicating no drop-off sites are nearby,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_10.feature,google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",Feature,,,,,No drop-off sites are available in the immediate area,,Scenario,,,And,Conjunction,I should see a suggestion to zoom out or search in other areas,,,False,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View events in my current location,,Scenario,,,Given,Context,I am on the homepage,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View events in my current location,,Scenario,,,When,Action,I allow the application to access my location,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View events in my current location,,Scenario,,,Then,Outcome,I should see a list of safe disposal events near my current location,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View events in my current location,,Scenario,,,And,Conjunction,"each event should display its name, date, time, and address",,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,Filter events by waste type,,Scenario,,,Given,Context,I am viewing the list of safe disposal events,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,Filter events by waste type,,Scenario,,,When,Action,"I select ""Electronics"" as the waste type filter",,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,Filter events by waste type,,Scenario,,,Then,Outcome,I should only see events that accept electronics for disposal,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,No events found in my area,,Scenario,,,Given,Context,I am on the homepage,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,No events found in my area,,Scenario,,,When,Action,I allow the application to access my location,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,No events found in my area,,Scenario,,,And,Conjunction,there are no safe disposal events currently scheduled near my location,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,No events found in my area,,Scenario,,,Then,Outcome,I should see a message indicating that no events were found in my area,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View event details,,Scenario,,,Given,Context,I am viewing the list of safe disposal events,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View event details,,Scenario,,,When,Action,I click on an event,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View event details,,Scenario,,,Then,Outcome,I should be taken to the event details page,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,View event details,,Scenario,,,And,Conjunction,"I should see the event's full description, accepted waste types, and organizer contact information",,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_11.feature,google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Feature,,,,,Search for events by address,,Scenario,,,Given,Context,I am on the homepage,,,False,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
